Row.names,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,19,20,21,22,23,24,25,T05_3_044,T04_1_070,27,29,30,33,34,35,36,37,38,39,41,42,43,44,45,46,47,T01_1_016,T03_1_048,T03_2_045,T03_3_085,T04_2_044,T04_3_028,T05_1_034,T08_1_161,T08_2_164,T08_3_020,T09_3_077,T10_1_291,T10_2_117,T11_1_015,T11_3_146
ENSG00000230246,3,0,0,3,0,0,0,0,0,0,4,4,0,0,1,2,0,5,0,0,1,0,2,0,0,18,0,23,5,61,0,0,0,0,0,0,0,0,0,0,11,2,0,3,39.15,0,14.42,7,1,19.43,6,23.96,5.91,42.21,0,5,8.9
ENSG00000230657,0,0,8,4,4,0,0,0,0,0,0,2,0,0,1,4,0,4,2,1,8,2,2,1,8,14,4,2,0,0,1,3,4,0,3,4,0,0,0,1,3,3,16.91,6,16,3,3,30.42,15,5,6,50,32.13,29,10,34,20.99
ENSG00000231500,3730,782.93,2772.99,5671.99,2181,610,1964,938.01,1665,2811.98,4312.99,1891,2841.91,2642.3,2652,2296.96,1230.05,3858.43,2181.94,4476,2009.99,1333,2877.99,4954.11,769.95,1094.99,2671,4909,1482,1042.1,4415.99,665,1891,584,2141.96,1255.01,2556,1611,1340,945,2966.99,805,1907,1612.99,330,945.96,618.99,2261,1485.97,1575.97,1455,1237.95,2627.99,1254.94,833.29,1476.99,1546.99
ENSG00000234810,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,1,0,2,1,0,0,0,1,1,0,9,2,0,8,0,6,178,2,0,6,2,0,0,6,2,1,0,0,6,19,0,7,0,0,8,1,0,4,0,0,0,0
ENSG00000236095,3,10,3,2,1,0,0,0,0,0,7,7,0,0,13,6,0,8,7,0,8,26,13,16,4,16,10,26,15,16,4,27,12,0,9,16,0,12,4,5,15,7,24,20,23,6,30,30,41,18,25,19,11,19,24,29,21
ENSG00000237359,6,11,20,0,7,0,0,0,0,0,2,10,0,24,2,20,4,10,0,0,6,3,13,18,7,13,9,4,0,17,11,60,12,0,11,3,0,25,10,34,9,4,50,35,64,26,105,42,4,64,34,63,40,42,14,46,37
ENSG00000239440,2,0,0,0,0,0,0,0,0,0,4,0,5,0,2,42,0,0,0,2,0,0,3,0,0,136,0,97,0,84,1,0,1,224,0,8,33,0,0,0,0,0,0,0,17,0,28,2,0,4,0,2,0,2,0,0,0
ENSG00000240602,2,0,0,3,0,0,2,0,0,0,1,5,0,0,2,1,0,7,0,0,0,26,18,19,0,3,1,7,6,117,2,20,9,56,4,20,2,0,0,20,9,14,27,6,3,24,72,10,3,59,4,17,1,15,8,35,15
ENSG00000242265,434,485,9763,3820,541,181,993,2,58,314,892,1777,0,1271,254,337,175,91,517,296,66,71,1051,2729,202,12,619,104,46,24,1917,355,980,0,910,107,1,944,10,186,34,608,67,583,160,125,5,380,26,8,79,71,73,402,770,194,51
ENSG00000244107,0,0,10,0,0,0,0,0,0,0,4,4,0,0,1,9,0,3,2,0,0,8,4,8,0,19,0,36,5,69,0,0,1,20,4,16,0,0,14,6,5,6,0,0,1,10,48,20,0,42,8,48,0,26,20,41,15
