Row.names,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,19,20,21,22,23,24,25,46,47,T03_1_048,T04_1_070,T05_3_044,T08_2_164,T10_2_117,27,29,30,33,34,35,36,37,38,39,41,42,43,44,45,T01_1_016,T03_2_045,T03_3_085,T04_2_044,T04_3_028,T05_1_034,T08_1_161,T08_3_020,T09_3_077,T10_1_291,T11_1_015,T11_3_146
ENSG00000230246,3,0,0,3,0,0,0,0,0,0,4,4,0,0,1,2,0,5,0,0,1,0,2,11,2,3,0,0,6,0,18,0,23,5,61,0,0,0,0,0,0,0,0,0,0,0,39.15,0,14.42,7,1,19.43,23.96,5.91,42.21,5,8.9
ENSG00000231749,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,1,1,0,0,0,0,7,0,1,0,3,0,0,4,3,8,0,0,0,1,0,0,0,10,0,3,0,0,0,0,7,9,2,27.04,7,5,12.44,7,2,34,0
ENSG00000234418,5,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,8,0,0,4,1,0,6,5,2,0,2,1,5,4,19,0,54,1,0,0,0,0,7,6,6,0,43,4,42,0,0,14,13,1,28,0,3
ENSG00000234810,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,1,0,2,1,0,0,0,1,1,0,6,0,1,1,0,9,2,0,8,0,6,178,2,0,6,2,0,0,6,2,0,19,0,7,0,0,8,0,4,0,0,0
ENSG00000235795,3,0,0,1,0,0,0,0,1,0,8,0,0,0,2,8,2,7,2,5,6,0,6,0,7,0,7,3,1,5,15,5,0,1,14,9,35,4,0,2,9,0,6,8,8,16,9,6,9,12,0,21,5,11,6,0,8
ENSG00000237359,6,11,20,0,7,0,0,0,0,0,2,10,0,24,2,20,4,10,0,0,6,3,13,9,4,35,7,18,34,14,13,9,4,0,17,11,60,12,0,11,3,0,25,10,34,50,64,26,105,42,4,64,63,40,42,46,37
ENSG00000237914,0,0,21,7,0,0,0,0,0,0,0,4,0,0,0,3,0,0,5,0,3,0,2,1,0,0,2,0,1,2,29,5,0,0,2,5,0,1,0,50,3,12,8,0,5,0,12,0,7,13,22,8,4,249,0,0,7
ENSG00000240602,2,0,0,3,0,0,2,0,0,0,1,5,0,0,2,1,0,7,0,0,0,26,18,9,14,6,0,19,4,8,3,1,7,6,117,2,20,9,56,4,20,2,0,0,20,27,3,24,72,10,3,59,17,1,15,35,15
ENSG00000243546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,12,0,3,0,0,17,0,0,0,67,1,0,2,0,0,0,21,0,0,3,8,2,11,3,3,14,3,0,18,5
ENSG00000244107,0,0,10,0,0,0,0,0,0,0,4,4,0,0,1,9,0,3,2,0,0,8,4,5,6,0,0,8,8,20,19,0,36,5,69,0,0,1,20,4,16,0,0,14,6,0,1,10,48,20,0,42,48,0,26,41,15
ENSG00000250493,7,0,0,0,1,0,0,0,0,9,6,7,0,0,0,0,0,0,4,0,2,4,5,1,12,5,0,0,3,3,66,3,36,45,33,1,0,2,0,4,0,0,1,0,0,0,25,3,22,3,0,22,14,1,22,6,0
ENSG00000250891,4,0,0,0,0,0,0,0,0,20,0,6,0,0,4,0,0,3,1,1,0,0,0,0,1,0,0,3,1,0,1,3,21,17,0,12,54,10,0,18,0,0,3,21,0,0,34,0,0,10,0,14,2,5,6,4,2
ENSG00000251244,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,5,0,0,0,0,2,0,0,3,0,0,0,2,0,2,39,0,0,9,0,4,0,40,26,1,2,0,0,16,17,0,0,111,2,0,3,10,4,48,24
ENSG00000252947,10,20,51,10,1,0,5,42,46,0,36,10,53,7,4,36,11,3,24,13,8,10,10,20,0,3,8,4,1,0,2,1,1,5,0,1,0,7,0,8,17,10,0,3,2,12,0,2,10,6,6,5,0,6,1,0,0
